"109年10月26日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","3481  ","群創            ","17,500,000","0","17,500,000",
" ","2409  ","友達            ","7,138,000","570,000","6,568,000",
" ","2303  ","聯電            ","3,640,000","8,000","3,632,000",
" ","2344  ","華邦電          ","2,178,000","0","2,178,000",
" ","2337  ","旺宏            ","1,476,000","0","1,476,000",
" ","3017  ","奇鋐            ","1,222,000","0","1,222,000",
" ","1909  ","榮成            ","820,000","0","820,000",
" ","3711  ","日月光投控      ","1,008,000","242,000","766,000",
" ","2615  ","萬海            ","747,000","0","747,000",
" ","1312  ","國喬            ","700,000","0","700,000",
" ","3406  ","玉晶光          ","450,000","0","450,000",
" ","4551  ","智伸科          ","440,000","0","440,000",
" ","1309  ","台達化          ","496,000","107,000","389,000",
" ","2355  ","敬鵬            ","290,000","0","290,000",
" ","3545  ","敦泰            ","280,000","0","280,000",
" ","2441  ","超豐            ","250,000","0","250,000",
" ","1598  ","岱宇            ","182,000","0","182,000",
" ","6278  ","台表科          ","169,000","0","169,000",
" ","5471  ","松翰            ","140,000","0","140,000",
" ","9958  ","世紀鋼          ","199,000","87,000","112,000",
" ","2317  ","鴻海            ","110,000","0","110,000",
" ","6213  ","聯茂            ","107,000","0","107,000",
" ","2383  ","台光電          ","95,000","0","95,000",
" ","2357  ","華碩            ","392,000","319,000","73,000",
" ","3008  ","大立光          ","70,000","0","70,000",
" ",="0056  ","元大高股息      ","60,000","0","60,000",
" ","3515  ","華擎            ","60,000","0","60,000",
" ","6582  ","申豐            ","51,000","0","51,000",
" ","4927  ","泰鼎-KY         ","50,000","0","50,000",
" ","8215  ","明基材          ","50,000","0","50,000",
" ","2108  ","南帝            ","40,000","0","40,000",
" ","3042  ","晶技            ","36,000","0","36,000",
" ","1513  ","中興電          ","50,000","18,000","32,000",
" ","9910  ","豐泰            ","29,000","0","29,000",
" ","1590  ","亞德客-KY       ","25,000","0","25,000",
" ","5269  ","祥碩            ","25,000","3,000","22,000",
" ","6669  ","緯穎            ","22,000","0","22,000",
" ",="0050  ","元大台灣50      ","9,000","0","9,000",
" ","2353  ","宏碁            ","9,000","0","9,000",
" ","2352  ","佳世達          ","4,000","0","4,000",
" ","3706  ","神達            ","3,000","0","3,000",
" ","2395  ","研華            ","2,000","0","2,000",
" ","3443  ","創意            ","1,000","0","1,000",
" ","6271  ","同欣電          ","1,000","0","1,000",
" ","2408  ","南亞科          ","55,000","2,867,000","-2,812,000",
" ","1609  ","大亞            ","0","2,424,000","-2,424,000",
" ","2891  ","中信金          ","0","2,292,000","-2,292,000",
" ","1904  ","正隆            ","0","2,007,000","-2,007,000",
" ","1101  ","台泥            ","0","1,741,000","-1,741,000",
" ","3037  ","欣興            ","0","1,487,000","-1,487,000",
" ","1605  ","華新            ","0","1,306,000","-1,306,000",
" ","2313  ","華通            ","0","1,171,000","-1,171,000",
" ","2368  ","金像電          ","0","1,043,000","-1,043,000",
" ","2324  ","仁寶            ","13,000","1,032,000","-1,019,000",
" ","2603  ","長榮            ","0","950,000","-950,000",
" ","8046  ","南電            ","3,000","881,000","-878,000",
" ","2356  ","英業達          ","9,000","864,000","-855,000",
" ","2301  ","光寶科          ","0","811,000","-811,000",
" ","1102  ","亞泥            ","0","794,000","-794,000",
" ","4938  ","和碩            ","6,000","738,000","-732,000",
" ","2347  ","聯強            ","5,000","709,000","-704,000",
" ","3231  ","緯創            ","9,000","676,000","-667,000",
" ","3189  ","景碩            ","80,000","692,000","-612,000",
" ","2809  ","京城銀          ","0","600,000","-600,000",
" ","1434  ","福懋            ","0","534,000","-534,000",
" ","6239  ","力成            ","3,000","500,000","-497,000",
" ","3702  ","大聯大          ","4,000","494,000","-490,000",
" ","2382  ","廣達            ","8,000","496,000","-488,000",
" ","2886  ","兆豐金          ","0","484,000","-484,000",
" ","1301  ","台塑            ","17,000","500,000","-483,000",
" ","2449  ","京元電子        ","3,000","480,000","-477,000",
" ","6285  ","啟碁            ","166,000","630,000","-464,000",
" ","2448  ","晶電            ","3,000","442,000","-439,000",
" ","4935  ","茂林-KY         ","0","395,000","-395,000",
" ","2376  ","技嘉            ","1,000","346,000","-345,000",
" ","4142  ","國光生          ","0","327,000","-327,000",
" ","2345  ","智邦            ","2,000","326,000","-324,000",
" ","2379  ","瑞昱            ","1,000","303,000","-302,000",
" ","2633  ","台灣高鐵        ","0","300,000","-300,000",
" ","9933  ","中鼎            ","0","300,000","-300,000",
" ","6456  ","GIS-KY          ","0","295,000","-295,000",
" ","6257  ","矽格            ","0","290,000","-290,000",
" ","2308  ","台達電          ","0","283,000","-283,000",
" ","6269  ","台郡            ","0","280,000","-280,000",
" ","3014  ","聯陽            ","0","272,000","-272,000",
" ","2504  ","國產            ","179,000","450,000","-271,000",
" ","3034  ","聯詠            ","40,000","297,000","-257,000",
" ","2451  ","創見            ","0","230,000","-230,000",
" ","3005  ","神基            ","1,000","230,000","-229,000",
" ","2385  ","群光            ","2,000","230,000","-228,000",
" ","2915  ","潤泰全          ","0","222,000","-222,000",
" ","2387  ","精元            ","100,000","316,000","-216,000",
