"109年11月06日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","6116  ","彩晶            ","6,500,000","0","6,500,000",
" ","2027  ","大成鋼          ","2,161,000","0","2,161,000",
" ","2603  ","長榮            ","1,539,000","200,000","1,339,000",
" ","2449  ","京元電子        ","1,500,000","268,000","1,232,000",
" ","3189  ","景碩            ","1,070,000","22,000","1,048,000",
" ","2313  ","華通            ","1,008,000","11,000","997,000",
" ","4976  ","佳凌            ","800,000","0","800,000",
" ","4958  ","臻鼎-KY         ","759,000","141,000","618,000",
" ","4968  ","立積            ","587,000","0","587,000",
" ","2456  ","奇力新          ","583,000","0","583,000",
" ","3017  ","奇鋐            ","581,000","0","581,000",
" ","3661  ","世芯-KY         ","673,000","115,000","558,000",
" ","9802  ","鈺齊-KY         ","553,000","0","553,000",
" ","8046  ","南電            ","530,000","3,000","527,000",
" ","2006  ","東和鋼鐵        ","520,000","0","520,000",
" ","3338  ","泰碩            ","495,000","0","495,000",
" ","3545  ","敦泰            ","364,000","0","364,000",
" ","5388  ","中磊            ","320,000","0","320,000",
" ","1477  ","聚陽            ","309,000","0","309,000",
" ","3034  ","聯詠            ","405,000","109,000","296,000",
" ","1476  ","儒鴻            ","304,000","10,000","294,000",
" ","3376  ","新日興          ","331,000","70,000","261,000",
" ","5871  ","中租-KY         ","251,000","0","251,000",
" ","2327  ","國巨            ","233,000","0","233,000",
" ","2492  ","華新科          ","245,000","40,000","205,000",
" ","1598  ","岱宇            ","209,000","5,000","204,000",
" ","4551  ","智伸科          ","201,000","0","201,000",
" ","3037  ","欣興            ","234,000","47,000","187,000",
" ","2883  ","開發金          ","168,000","10,000","158,000",
" ","2888  ","新光金          ","142,000","0","142,000",
" ","1762  ","中化生          ","124,000","0","124,000",
" ","2412  ","中華電          ","128,000","7,000","121,000",
" ","2106  ","建大            ","804,000","692,000","112,000",
" ","2344  ","華邦電          ","100,000","0","100,000",
" ","3450  ","聯鈞            ","100,000","0","100,000",
" ","6285  ","啟碁            ","100,000","0","100,000",
" ","6251  ","定穎            ","90,000","0","90,000",
" ","1590  ","亞德客-KY       ","84,000","0","84,000",
" ","2365  ","昆盈            ","81,000","0","81,000",
" ","2454  ","聯發科          ","158,000","81,000","77,000",
" ","2301  ","光寶科          ","300,000","224,000","76,000",
" ","1417  ","嘉裕            ","73,000","0","73,000",
" ","1712  ","興農            ","61,000","0","61,000",
" ","9910  ","豐泰            ","61,000","0","61,000",
" ","4927  ","泰鼎-KY         ","55,000","0","55,000",
" ","6152  ","百一            ","55,000","0","55,000",
" ","2455  ","全新            ","52,000","0","52,000",
" ","2615  ","萬海            ","50,000","0","50,000",
" ","3006  ","晶豪科          ","50,000","0","50,000",
" ","5215  ","科嘉-KY         ","50,000","0","50,000",
" ","1582  ","信錦            ","40,000","0","40,000",
" ","2355  ","敬鵬            ","40,000","0","40,000",
" ","6271  ","同欣電          ","40,000","0","40,000",
" ","1701  ","中化            ","35,000","0","35,000",
" ","8464  ","億豐            ","35,000","0","35,000",
" ","2493  ","揚博            ","33,000","0","33,000",
" ","1229  ","聯華            ","31,000","0","31,000",
" ","2013  ","中鋼構          ","30,000","0","30,000",
" ","5269  ","祥碩            ","27,000","0","27,000",
" ",="0050  ","元大台灣50      ","24,000","0","24,000",
" ","2233  ","宇隆            ","20,000","0","20,000",
" ","2480  ","敦陽科          ","18,000","0","18,000",
" ","2231  ","為升            ","17,000","0","17,000",
" ","6414  ","樺漢            ","14,000","0","14,000",
" ","3708  ","上緯投控        ","12,000","0","12,000",
" ","2428  ","興勤            ","20,000","10,000","10,000",
" ","5288  ","豐祥-KY         ","10,000","0","10,000",
" ",="0052  ","富邦科技        ","8,000","0","8,000",
" ","8210  ","勤誠            ","7,000","0","7,000",
" ","9921  ","巨大            ","54,000","47,000","7,000",
" ","4536  ","拓凱            ","10,000","5,000","5,000",
" ","5434  ","崇越            ","15,000","11,000","4,000",
" ","2303  ","聯電            ","623,000","11,581,000","-10,958,000",
" ","2610  ","華航            ","0","4,500,000","-4,500,000",
" ","1309  ","台達化          ","0","3,646,000","-3,646,000",
" ","2201  ","裕隆            ","0","2,213,000","-2,213,000",
" ","2409  ","友達            ","0","1,921,000","-1,921,000",
" ","1904  ","正隆            ","0","1,588,000","-1,588,000",
" ","3673  ","TPK-KY          ","0","1,505,000","-1,505,000",
" ",="0056  ","元大高股息      ","0","1,396,000","-1,396,000",
" ","1312  ","國喬            ","100,000","1,291,000","-1,191,000",
" ","1305  ","華夏            ","0","1,030,000","-1,030,000",
" ","3653  ","健策            ","0","993,000","-993,000",
" ","2520  ","冠德            ","0","879,000","-879,000",
" ","2383  ","台光電          ","0","845,000","-845,000",
" ","3711  ","日月光投控      ","0","814,000","-814,000",
" ","2377  ","微星            ","0","691,000","-691,000",
" ","4938  ","和碩            ","0","682,000","-682,000",
" ","2337  ","旺宏            ","0","680,000","-680,000",
" ","2108  ","南帝            ","82,000","680,000","-598,000",
" ","2324  ","仁寶            ","0","559,000","-559,000",
" ","3481  ","群創            ","374,000","861,000","-487,000",
" ","2356  ","英業達          ","0","463,000","-463,000",
" ","1102  ","亞泥            ","0","430,000","-430,000",
" ","1605  ","華新            ","0","372,000","-372,000",
" ","3231  ","緯創            ","0","362,000","-362,000",
" ","2633  ","台灣高鐵        ","0","340,000","-340,000",
" ","2809  ","京城銀          ","0","321,000","-321,000",
" ","1434  ","福懋            ","0","287,000","-287,000",
" ","1101  ","台泥            ","0","276,000","-276,000",
" ","2886  ","兆豐金          ","0","268,000","-268,000",
" ","3702  ","大聯大          ","0","265,000","-265,000",
" ","1515  ","力山            ","0","230,000","-230,000",
" ","3443  ","創意            ","20,000","250,000","-230,000",
" ","2376  ","技嘉            ","0","223,000","-223,000",
" ","2347  ","聯強            ","0","209,000","-209,000",
" ","6412  ","群電            ","0","198,000","-198,000",
" ","6257  ","矽格            ","0","188,000","-188,000",
" ","1210  ","大成            ","0","175,000","-175,000",
" ","2867  ","三商壽          ","0","161,000","-161,000",
" ","9933  ","中鼎            ","0","161,000","-161,000",
" ","2451  ","創見            ","0","148,000","-148,000",
" ","2439  ","美律            ","0","141,000","-141,000",
" ","2382  ","廣達            ","0","132,000","-132,000",
" ","6582  ","申豐            ","0","130,000","-130,000",
" ","3005  ","神基            ","0","123,000","-123,000",
" ","2915  ","潤泰全          ","0","119,000","-119,000",
" ","2330  ","台積電          ","0","117,000","-117,000",
" ","3533  ","嘉澤            ","12,000","123,000","-111,000",
" ","6213  ","聯茂            ","357,000","463,000","-106,000",
" ","2458  ","義隆            ","0","103,000","-103,000",
" ","3406  ","玉晶光          ","0","103,000","-103,000",
" ","4977  ","眾達-KY         ","0","100,000","-100,000",
" ","6504  ","南六            ","0","100,000","-100,000",
" ","6176  ","瑞儀            ","0","98,000","-98,000",
" ","3044  ","健鼎            ","0","92,000","-92,000",
" ","1532  ","勤美            ","0","78,000","-78,000",
" ","1731  ","美吾華          ","0","76,000","-76,000",
" ","2385  ","群光            ","0","67,000","-67,000",
" ","5534  ","長虹            ","0","64,000","-64,000",
" ","9958  ","世紀鋼          ","0","57,000","-57,000",
" ","5515  ","建國            ","0","54,000","-54,000",
" ","8021  ","尖點            ","0","52,000","-52,000",
" ","2368  ","金像電          ","0","50,000","-50,000",
" ","2357  ","華碩            ","0","49,000","-49,000",
" ","2020  ","美亞            ","0","45,000","-45,000",
" ","8103  ","瀚荃            ","0","44,000","-44,000",
" ","9911  ","櫻花            ","0","44,000","-44,000",
" ","2308  ","台達電          ","105,000","146,000","-41,000",
" ","3705  ","永信            ","0","41,000","-41,000",
" ","2379  ","瑞昱            ","8,000","48,000","-40,000",
