"109年10月23日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2303  ","聯電            ","9,271,000","0","9,271,000",
" ","2344  ","華邦電          ","2,639,000","0","2,639,000",
" ","2603  ","長榮            ","2,291,000","343,000","1,948,000",
" ","1513  ","中興電          ","1,248,000","0","1,248,000",
" ","2317  ","鴻海            ","1,229,000","0","1,229,000",
" ","2313  ","華通            ","1,123,000","0","1,123,000",
" ","3017  ","奇鋐            ","1,113,000","0","1,113,000",
" ","2337  ","旺宏            ","1,046,000","0","1,046,000",
" ","2891  ","中信金          ","1,028,000","2,000","1,026,000",
" ","2355  ","敬鵬            ","978,000","0","978,000",
" ","1909  ","榮成            ","960,000","0","960,000",
" ","2883  ","開發金          ","842,000","2,000","840,000",
" ","2885  ","元大金          ","839,000","1,000","838,000",
" ","2890  ","永豐金          ","640,000","1,000","639,000",
" ",="0056  ","元大高股息      ","596,000","0","596,000",
" ","2884  ","玉山金          ","660,000","81,000","579,000",
" ","2886  ","兆豐金          ","579,000","1,000","578,000",
" ","2892  ","第一金          ","560,000","2,000","558,000",
" ","2887  ","台新金          ","558,000","1,000","557,000",
" ","2880  ","華南金          ","519,000","2,000","517,000",
" ","5880  ","合庫金          ","517,000","1,000","516,000",
" ","2535  ","達欣工          ","500,000","0","500,000",
" ","2882  ","國泰金          ","461,000","2,000","459,000",
" ","3406  ","玉晶光          ","415,000","0","415,000",
" ","2881  ","富邦金          ","403,000","0","403,000",
" ","1598  ","岱宇            ","380,000","0","380,000",
" ","2801  ","彰銀            ","362,000","1,000","361,000",
" ","2006  ","東和鋼鐵        ","350,000","1,000","349,000",
" ","1216  ","統一            ","257,000","1,000","256,000",
" ","2412  ","中華電          ","279,000","25,000","254,000",
" ","2324  ","仁寶            ","244,000","0","244,000",
" ","1326  ","台化            ","234,000","0","234,000",
" ","5471  ","松翰            ","219,000","0","219,000",
" ","2387  ","精元            ","213,000","0","213,000",
" ","3596  ","智易            ","209,000","0","209,000",
" ","1444  ","力麗            ","200,000","0","200,000",
" ","3711  ","日月光投控      ","190,000","0","190,000",
" ","2441  ","超豐            ","181,000","0","181,000",
" ","6213  ","聯茂            ","173,000","0","173,000",
" ","2812  ","台中銀          ","145,000","0","145,000",
" ","8046  ","南電            ","428,000","293,000","135,000",
" ","2357  ","華碩            ","110,000","0","110,000",
" ","4927  ","泰鼎-KY         ","110,000","0","110,000",
" ","6239  ","力成            ","104,000","0","104,000",
" ","1736  ","喬山            ","100,000","0","100,000",
" ","9914  ","美利達          ","94,000","0","94,000",
" ","3034  ","聯詠            ","92,000","10,000","82,000",
" ","6669  ","緯穎            ","75,000","0","75,000",
" ","3661  ","世芯-KY         ","78,000","7,000","71,000",
" ","4536  ","拓凱            ","64,000","0","64,000",
" ","2409  ","友達            ","55,000","0","55,000",
" ","3008  ","大立光          ","53,000","0","53,000",
" ","4190  ","佐登-KY         ","50,000","0","50,000",
" ","6582  ","申豐            ","50,000","0","50,000",
" ","9802  ","鈺齊-KY         ","122,000","81,000","41,000",
" ","3376  ","新日興          ","40,000","0","40,000",
" ","9921  ","巨大            ","49,000","10,000","39,000",
" ","1590  ","亞德客-KY       ","23,000","1,000","22,000",
" ","2353  ","宏碁            ","18,000","0","18,000",
" ","2356  ","英業達          ","19,000","1,000","18,000",
" ","3231  ","緯創            ","17,000","0","17,000",
" ","3665  ","貿聯-KY         ","16,000","0","16,000",
" ","2548  ","華固            ","12,000","0","12,000",
" ","3702  ","大聯大          ","12,000","0","12,000",
" ","1477  ","聚陽            ","10,000","0","10,000",
" ","2474  ","可成            ","10,000","0","10,000",
" ","8028  ","昇陽半導體      ","10,000","0","10,000",
" ","2352  ","佳世達          ","9,000","0","9,000",
" ","2347  ","聯強            ","8,000","0","8,000",
" ","5269  ","祥碩            ","18,000","10,000","8,000",
" ","9910  ","豐泰            ","8,000","0","8,000",
" ","2449  ","京元電子        ","7,000","0","7,000",
" ","3706  ","神達            ","6,000","0","6,000",
" ","2377  ","微星            ","5,000","0","5,000",
" ","2385  ","群光            ","4,000","0","4,000",
" ","2889  ","國票金          ","4,000","0","4,000",
" ","3045  ","台灣大          ","4,000","0","4,000",
" ","2376  ","技嘉            ","3,000","0","3,000",
" ","1102  ","亞泥            ","3,000","1,000","2,000",
" ","2395  ","研華            ","2,000","0","2,000",
" ","3005  ","神基            ","2,000","0","2,000",
" ","6285  ","啟碁            ","2,000","0","2,000",
" ","2915  ","潤泰全          ","1,000","0","1,000",
" ","3653  ","健策            ","6,000","5,000","1,000",
" ","6271  ","同欣電          ","1,000","0","1,000",
" ","2408  ","南亞科          ","19,000","4,237,000","-4,218,000",
" ","5469  ","瀚宇博          ","0","3,000,000","-3,000,000",
" ","3037  ","欣興            ","0","1,967,000","-1,967,000",
" ","2345  ","智邦            ","3,000","818,000","-815,000",
" ","3481  ","群創            ","1,705,000","2,359,000","-654,000",
" ","6251  ","定穎            ","0","478,000","-478,000",
" ","2231  ","為升            ","0","448,000","-448,000",
" ","2368  ","金像電          ","0","445,000","-445,000",
" ","2448  ","晶電            ","7,000","443,000","-436,000",
" ","6477  ","安集            ","0","420,000","-420,000",
" ","2340  ","光磊            ","0","411,000","-411,000",
" ","3515  ","華擎            ","16,000","375,000","-359,000",
" ","2633  ","台灣高鐵        ","0","350,000","-350,000",
" ","3189  ","景碩            ","40,000","380,000","-340,000",
" ","6456  ","GIS-KY          ","0","322,000","-322,000",
" ","4938  ","和碩            ","13,000","306,000","-293,000",
" ","2379  ","瑞昱            ","3,000","267,000","-264,000",
" ","2382  ","廣達            ","17,000","276,000","-259,000",
" ","9907  ","統一實          ","0","250,000","-250,000",
" ","1762  ","中化生          ","0","242,000","-242,000",
" ","4935  ","茂林-KY         ","0","206,000","-206,000",
" ","2504  ","國產            ","0","200,000","-200,000",
" ","5534  ","長虹            ","0","187,000","-187,000",
" ","4958  ","臻鼎-KY         ","248,000","355,000","-107,000",
" ","1536  ","和大            ","0","105,000","-105,000",
" ","6670  ","復盛應用        ","0","105,000","-105,000",
" ","1101  ","台泥            ","0","101,000","-101,000",
" ","2383  ","台光電          ","0","100,000","-100,000",
" ","3708  ","上緯投控        ","0","97,000","-97,000",
" ","9958  ","世紀鋼          ","5,000","102,000","-97,000",
" ","6230  ","超眾            ","0","92,000","-92,000",
" ","2351  ","順德            ","0","80,000","-80,000",
" ","6196  ","帆宣            ","0","80,000","-80,000",
" ","1301  ","台塑            ","0","70,000","-70,000",
" ","3533  ","嘉澤            ","0","68,000","-68,000",
" ","2451  ","創見            ","2,000","61,000","-59,000",
" ","2013  ","中鋼構          ","0","53,000","-53,000",
" ","6598  ","ABC-KY          ","0","40,000","-40,000",
" ","1515  ","力山            ","0","32,000","-32,000",
" ","2454  ","聯發科          ","9,000","35,000","-26,000",
" ","2330  ","台積電          ","181,000","202,000","-21,000",
" ","8341  ","日友            ","0","21,000","-21,000",
" ","2458  ","義隆            ","2,000","20,000","-18,000",
" ","1560  ","中砂            ","0","15,000","-15,000",
" ","2308  ","台達電          ","0","14,000","-14,000",
" ","6278  ","台表科          ","0","8,000","-8,000",
" ","8081  ","致新            ","0","7,000","-7,000",
" ","8454  ","富邦媒          ","0","5,000","-5,000",
" ","8464  ","億豐            ","0","4,000","-4,000",
" ","2888  ","新光金          ","0","2,000","-2,000",
" ","1402  ","遠東新          ","0","1,000","-1,000",
" ","2002  ","中鋼            ","0","1,000","-1,000",
" ","2834  ","臺企銀          ","0","1,000","-1,000",
" ","2845  ","遠東銀          ","0","1,000","-1,000",
" ","2867  ","三商壽          ","0","1,000","-1,000",
" ","4164  ","承業醫          ","0","1,000","-1,000",
" ","4904  ","遠傳            ","0","1,000","-1,000",
" ","5871  ","中租-KY         ","0","1,000","-1,000",
" ","6505  ","台塑化          ","0","1,000","-1,000",
" ","9904  ","寶成            ","0","1,000","-1,000",
" ","1589  ","永冠-KY         ","0","278","-278",
"說明:"
"投信表示本國投資信託基金。"
"＊表示該證券今日有鉅額交易。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

