"109年11月17日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2337  ","旺宏            ","9,251,000","135,000","9,116,000",
" ","2303  ","聯電            ","3,672,000","798,000","2,874,000",
" ","2448  ","晶電            ","2,830,000","0","2,830,000",
" ","2603  ","長榮            ","2,724,000","0","2,724,000",
" ","2881  ","富邦金          ","3,212,000","615,404","2,596,596",
" ","2615  ","萬海            ","2,289,000","0","2,289,000",
" ","2882  ","國泰金          ","2,494,000","500,892","1,993,108",
" ",="0050  ","元大台灣50      ","1,350,000","0","1,350,000",
" ","2481  ","強茂            ","1,260,000","0","1,260,000",
" ","3711  ","日月光投控      ","1,000,000","18,000","982,000",
" ","2375  ","凱美            ","924,000","0","924,000",
" ","1326  ","台化            ","880,000","78,114","801,886",
" ","2368  ","金像電          ","800,000","0","800,000",
" ","3189  ","景碩            ","1,031,000","300,000","731,000",
" ","8150  ","南茂            ","700,000","0","700,000",
" ","1305  ","華夏            ","680,000","0","680,000",
" ","3338  ","泰碩            ","619,000","0","619,000",
" ","1104  ","環泥            ","598,000","0","598,000",
" ","8046  ","南電            ","563,000","20,000","543,000",
" ","2006  ","東和鋼鐵        ","500,000","0","500,000",
" ","6271  ","同欣電          ","492,000","1,000","491,000",
" ","3034  ","聯詠            ","493,000","4,470","488,530",
" ","6213  ","聯茂            ","482,000","0","482,000",
" ","4935  ","茂林-KY         ","552,000","83,000","469,000",
" ","6505  ","台塑化          ","461,000","10,938","450,062",
" ","2408  ","南亞科          ","770,000","409,954","360,046",
" ","9904  ","寶成            ","1,100,000","740,000","360,000",
" ","2002  ","中鋼            ","318,000","0","318,000",
" ","4968  ","立積            ","497,000","183,000","314,000",
" ","2313  ","華通            ","315,000","3,000","312,000",
" ","2014  ","中鴻            ","280,000","0","280,000",
" ","2206  ","三陽工業        ","270,000","0","270,000",
" ","2201  ","裕隆            ","767,000","500,000","267,000",
" ","2327  ","國巨            ","264,000","1,006","262,994",
" ","6285  ","啟碁            ","255,000","5,000","250,000",
" ","6278  ","台表科          ","276,000","45,000","231,000",
" ","3661  ","世芯-KY         ","391,000","200,000","191,000",
" ","9933  ","中鼎            ","200,000","12,000","188,000",
" ","2504  ","國產            ","324,000","137,000","187,000",
" ","3443  ","創意            ","166,000","0","166,000",
" ",="0052  ","富邦科技        ","157,000","0","157,000",
" ","1312  ","國喬            ","100,000","0","100,000",
" ",="0056  ","元大高股息      ","87,000","0","87,000",
" ","4906  ","正文            ","70,000","0","70,000",
" ","2308  ","台達電          ","70,000","5,465","64,535",
" ","3515  ","華擎            ","61,000","0","61,000",
" ","5388  ","中磊            ","53,000","0","53,000",
" ","9921  ","巨大            ","60,000","8,000","52,000",
" ","3042  ","晶技            ","178,000","134,000","44,000",
" ","2492  ","華新科          ","40,000","1,000","39,000",
" ","2454  ","聯發科          ","52,000","14,882","37,118",
" ","1723  ","中碳            ","35,000","0","35,000",
" ","2379  ","瑞昱            ","50,000","18,201","31,799",
" ","8464  ","億豐            ","30,000","1,000","29,000",
" ","5269  ","祥碩            ","17,000","0","17,000",
" ","2439  ","美律            ","15,000","0","15,000",
" ","6415  ","矽力-KY         ","13,000","0","13,000",
" ","2383  ","台光電          ","47,000","35,000","12,000",
" ","2723  ","美食-KY         ","12,000","0","12,000",
" ","2049  ","上銀            ","52,000","41,000","11,000",
" ","6491  ","晶碩            ","10,000","0","10,000",
" ","9802  ","鈺齊-KY         ","10,000","0","10,000",
" ","8454  ","富邦媒          ","5,000","0","5,000",
" ","9910  ","豐泰            ","6,000","1,305","4,695",
" ","2464  ","盟立            ","3,000","0","3,000",
" ","3481  ","群創            ","0","15,134,000","-15,134,000",
" ","2409  ","友達            ","0","11,072,000","-11,072,000",
" ","2886  ","兆豐金          ","0","5,785,907","-5,785,907",
" ","2883  ","開發金          ","0","2,693,000","-2,693,000",
" ","2890  ","永豐金          ","0","2,133,000","-2,133,000",
" ","2324  ","仁寶            ","0","1,559,000","-1,559,000",
" ","1904  ","正隆            ","0","1,500,000","-1,500,000",
" ","3708  ","上緯投控        ","0","1,273,000","-1,273,000",
" ","2356  ","英業達          ","0","1,212,000","-1,212,000",
" ","2106  ","建大            ","0","1,012,000","-1,012,000",
" ","2892  ","第一金          ","0","1,011,000","-1,011,000",
" ","2891  ","中信金          ","371,000","1,218,046","-847,046",
" ","3017  ","奇鋐            ","536,000","1,341,000","-805,000",
" ","1402  ","遠東新          ","0","793,000","-793,000",
" ","3231  ","緯創            ","0","723,000","-723,000",
" ","4142  ","國光生          ","0","650,000","-650,000",
" ","3702  ","大聯大          ","0","643,000","-643,000",
" ","2382  ","廣達            ","0","613,000","-613,000",
" ","2301  ","光寶科          ","0","607,000","-607,000",
" ","3037  ","欣興            ","0","606,000","-606,000",
" ","4904  ","遠傳            ","0","592,671","-592,671",
" ","1598  ","岱宇            ","60,000","626,000","-566,000",
" ","1515  ","力山            ","0","535,000","-535,000",
" ",="00637L","元大滬深300正2  ","0","532,000","-532,000",
" ","1303  ","南亞            ","0","517,214","-517,214",
" ","4958  ","臻鼎-KY         ","65,000","574,000","-509,000",
" ","2330  ","台積電          ","22,000","521,864","-499,864",
