"109年07月23日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2303  ","聯電            ","6,768,000","1,577,000","5,191,000",
" ","2337  ","旺宏            ","3,000,000","0","3,000,000",
" ","1402  ","遠東新          ","2,701,000","46,000","2,655,000",
" ","3702  ","大聯大          ","2,444,000","0","2,444,000",
" ","2883  ","開發金          ","2,571,000","232,000","2,339,000",
" ","2890  ","永豐金          ","1,714,000","175,000","1,539,000",
" ","6456  ","GIS-KY          ","1,246,000","38,000","1,208,000",
" ","2324  ","仁寶            ","1,529,000","338,000","1,191,000",
" ","2886  ","兆豐金          ","1,328,000","166,000","1,162,000",
" ","2385  ","群光            ","1,100,000","4,000","1,096,000",
" ","3481  ","群創            ","1,075,000","0","1,075,000",
" ","2105  ","正新            ","1,013,000","8,000","1,005,000",
" ","2892  ","第一金          ","1,031,000","144,000","887,000",
" ","6269  ","台郡            ","820,000","20,000","800,000",
" ","3034  ","聯詠            ","783,000","3,000","780,000",
" ","2313  ","華通            ","775,000","0","775,000",
" ","3231  ","緯創            ","779,000","10,000","769,000",
" ","2520  ","冠德            ","742,000","0","742,000",
" ","9904  ","寶成            ","776,000","45,000","731,000",
" ","4904  ","遠傳            ","648,000","7,000","641,000",
" ","2301  ","光寶科          ","622,000","12,000","610,000",
" ","4938  ","和碩            ","622,000","14,000","608,000",
" ","2368  ","金像電          ","552,000","0","552,000",
" ","2439  ","美律            ","519,000","1,000","518,000",
" ","2382  ","廣達            ","528,000","46,000","482,000",
" ","2347  ","聯強            ","474,000","1,000","473,000",
" ","2408  ","南亞科          ","464,000","9,000","455,000",
" ","6257  ","矽格            ","600,000","150,000","450,000",
" ","6239  ","力成            ","542,000","96,000","446,000",
" ","2891  ","中信金          ","1,117,000","727,307","389,693",
" ","2881  ","富邦金          ","495,000","134,000","361,000",
" ","2882  ","國泰金          ","507,000","148,000","359,000",
" ","9933  ","中鼎            ","349,000","0","349,000",
" ","2377  ","微星            ","318,000","0","318,000",
" ","3044  ","健鼎            ","310,000","0","310,000",
" ","1303  ","南亞            ","398,000","107,000","291,000",
" ","5264  ","鎧勝-KY         ","306,000","15,000","291,000",
" ","6271  ","同欣電          ","290,000","0","290,000",
" ","3042  ","晶技            ","330,000","50,000","280,000",
" ","6176  ","瑞儀            ","336,000","58,000","278,000",
" ","5215  ","科嘉-KY         ","425,000","152,000","273,000",
" ","2376  ","技嘉            ","239,000","0","239,000",
" ","2458  ","義隆            ","237,000","2,000","235,000",
" ","1590  ","亞德客-KY       ","240,000","29,000","211,000",
" ","3045  ","台灣大          ","216,000","10,000","206,000",
" ","3711  ","日月光投控      ","366,000","169,000","197,000",
" ","6706  ","惠特            ","173,000","0","173,000",
" ","8046  ","南電            ","210,000","40,000","170,000",
" ","3014  ","聯陽            ","158,000","0","158,000",
" ","6698  ","旭暉應材        ","155,000","0","155,000",
" ","1717  ","長興            ","150,000","3,000","147,000",
" ","2357  ","華碩            ","137,000","4,000","133,000",
" ","5469  ","瀚宇博          ","120,000","0","120,000",
" ","9802  ","鈺齊-KY         ","120,000","0","120,000",
" ","2327  ","國巨            ","149,000","36,000","113,000",
" ","2412  ","中華電          ","190,000","81,000","109,000",
" ","3413  ","京鼎            ","104,000","0","104,000",
" ","1589  ","永冠-KY         ","103,000","0","103,000",
" ","5388  ","中磊            ","100,000","0","100,000",
" ","2049  ","上銀            ","93,000","0","93,000",
" ","2354  ","鴻準            ","58,000","2,000","56,000",
" ","2342  ","茂矽            ","50,000","0","50,000",
" ","3189  ","景碩            ","50,000","0","50,000",
" ","9958  ","世紀鋼          ","50,000","0","50,000",
" ","1476  ","儒鴻            ","42,000","1,000","41,000",
" ","6715  ","嘉基            ","38,000","0","38,000",
" ","3035  ","智原            ","737,000","700,000","37,000",
" ","9914  ","美利達          ","40,000","10,000","30,000",
" ","5269  ","祥碩            ","27,000","0","27,000",
" ","2454  ","聯發科          ","31,000","14,000","17,000",
" ","3037  ","欣興            ","20,000","4,000","16,000",
" ","5871  ","中租-KY         ","18,000","9,000","9,000",
" ","1308  ","亞聚            ","7,000","0","7,000",
" ","2820  ","華票            ","1,000","0","1,000",
" ","3406  ","玉晶光          ","0","1,075,000","-1,075,000",
" ","2481  ","強茂            ","0","586,000","-586,000",
" ","2356  ","英業達          ","1,451,000","2,016,000","-565,000",
" ","4958  ","臻鼎-KY         ","0","435,000","-435,000",
" ","4927  ","泰鼎-KY         ","0","353,000","-353,000",
" ","2603  ","長榮            ","1,000","341,000","-340,000",
" ","1102  ","亞泥            ","1,000","226,000","-225,000",
" ","6416  ","瑞祺電通        ","0","225,000","-225,000",
" ","6414  ","樺漢            ","0","213,000","-213,000",
" ","2834  ","臺企銀          ","0","202,000","-202,000",
" ","2885  ","元大金          ","2,000","199,000","-197,000",
" ","2884  ","玉山金          ","1,000","171,000","-170,000",
" ","2887  ","台新金          ","1,000","171,000","-170,000",
" ","5880  ","合庫金          ","2,000","155,000","-153,000",
" ","2880  ","華南金          ","1,000","151,000","-150,000",
" ","2002  ","中鋼            ","2,000","148,000","-146,000",
" ","6491  ","晶碩            ","0","144,000","-144,000",
" ","9945  ","潤泰新          ","0","135,000","-135,000",
" ","6213  ","聯茂            ","0","130,000","-130,000",
" ","2330  ","台積電          ","5,000","126,000","-121,000",
" ","1477  ","聚陽            ","0","120,000","-120,000",
" ","2504  ","國產            ","0","120,000","-120,000",
" ","1325  ","恆大            ","0","112,000","-112,000",
" ","2633  ","台灣高鐵        ","0","109,000","-109,000",
" ","2228  ","劍麟            ","0","102,000","-102,000",
" ","2801  ","彰銀            ","1,000","102,000","-101,000",
" ","9921  ","巨大            ","0","100,000","-100,000",
" ","3008  ","大立光          ","0","99,173","-99,173",
" ","2317  ","鴻海            ","0","98,000","-98,000",
" ","2345  ","智邦            ","0","96,000","-96,000",
" ","3665  ","貿聯-KY         ","0","93,000","-93,000",
" ",="0050  ","元大台灣50      ","0","88,100","-88,100",
" ","2492  ","華新科          ","0","85,000","-85,000",
" ","1326  ","台化            ","0","81,000","-81,000",
" ","6504  ","南六            ","0","80,000","-80,000",
" ","2383  ","台光電          ","144,000","219,000","-75,000",
" ","1101  ","台泥            ","0","74,000","-74,000",
" ","1216  ","統一            ","0","74,000","-74,000",
" ","2308  ","台達電          ","0","70,000","-70,000",
" ","2360  ","致茂            ","0","66,000","-66,000",
" ","2881A ","富邦特          ","0","64,000","-64,000",
" ","2379  ","瑞昱            ","0","63,000","-63,000",
" ","2882A ","國泰特          ","0","60,000","-60,000",
" ","2888  ","新光金          ","2,000","57,000","-55,000",
" ","6285  ","啟碁            ","0","51,000","-51,000",
" ","6278  ","台表科          ","38,000","85,000","-47,000",
" ","3653  ","健策            ","8,000","54,000","-46,000",
" ","2887E ","台新戊特        ","0","42,000","-42,000",
" ","2618  ","長榮航          ","1,000","42,000","-41,000",
" ","2474  ","可成            ","118,000","158,000","-40,000",
" ","3443  ","創意            ","0","40,000","-40,000",
" ","6230  ","超眾            ","0","40,000","-40,000",
" ","3450  ","聯鈞            ","0","35,000","-35,000",
" ","4551  ","智伸科          ","0","35,000","-35,000",
" ","6415  ","矽力-KY         ","0","33,000","-33,000",
" ","1537  ","廣隆            ","0","30,000","-30,000",
" ","2707  ","晶華            ","0","30,000","-30,000",
" ","6592  ","和潤企業        ","0","30,000","-30,000",
" ","2812  ","台中銀          ","1,000","30,000","-29,000",
" ","2823  ","中壽            ","0","23,000","-23,000",
" ","3017  ","奇鋐            ","130,000","152,000","-22,000",
" ","1301  ","台塑            ","1,000","19,000","-18,000",
" ","4935  ","茂林-KY         ","0","18,000","-18,000",
" ","6505  ","台塑化          ","1,000","16,000","-15,000",
" ","9934  ","成霖            ","0","13,000","-13,000",
" ","3052  ","夆典            ","0","12,000","-12,000",
" ","3533  ","嘉澤            ","0","12,000","-12,000",
" ","5288  ","豐祥-KY         ","50,000","61,000","-11,000",
" ","2353  ","宏碁            ","0","10,000","-10,000",
" ","2352  ","佳世達          ","0","9,000","-9,000",
" ","2614  ","東森            ","0","9,000","-9,000",
" ","6005  ","群益證          ","0","8,000","-8,000",
" ","1218  ","泰山            ","0","7,000","-7,000",
