"109年12月22日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2883  ","開發金          ","63,990,800","12,000","63,978,800",
" ","3481  ","群創            ","25,819,000","0","25,819,000",
" ","2542  ","興富發          ","8,785,000","0","8,785,000",
" ","2609  ","陽明            ","6,000,000","0","6,000,000",
" ","5522  ","遠雄            ","4,908,000","4,000","4,904,000",
" ","2356  ","英業達          ","4,016,500","2,000","4,014,500",
" ","2344  ","華邦電          ","4,756,000","1,040,000","3,716,000",
" ","2027  ","大成鋼          ","3,598,000","0","3,598,000",
" ","3231  ","緯創            ","3,492,000","2,000","3,490,000",
" ","2014  ","中鴻            ","5,397,000","1,954,000","3,443,000",
" ","2303  ","聯電            ","3,426,500","10,000","3,416,500",
" ","2347  ","聯強            ","3,392,000","289,000","3,103,000",
" ","1312  ","國喬            ","2,651,000","0","2,651,000",
" ","2301  ","光寶科          ","2,327,000","2,000","2,325,000",
" ","2409  ","友達            ","5,493,000","3,368,000","2,125,000",
" ","2886  ","兆豐金          ","1,972,400","9,000","1,963,400",
" ","2610  ","華航            ","6,218,000","4,288,000","1,930,000",
" ","2615  ","萬海            ","1,922,000","1,000","1,921,000",
" ","4938  ","和碩            ","1,697,600","2,000","1,695,600",
" ","8261  ","富鼎            ","1,538,000","0","1,538,000",
" ","2002  ","中鋼            ","1,389,300","318,000","1,071,300",
" ","2606  ","裕民            ","1,030,000","0","1,030,000",
" ","1909  ","榮成            ","1,000,000","0","1,000,000",
" ","3702  ","大聯大          ","980,000","0","980,000",
" ","8016  ","矽創            ","970,000","0","970,000",
" ","1101  ","台泥            ","1,120,900","225,000","895,900",
" ","1301  ","台塑            ","659,900","35,000","624,900",
" ","2352  ","佳世達          ","605,900","0","605,900",
" ","2382  ","廣達            ","952,000","365,000","587,000",
" ","2504  ","國產            ","400,000","0","400,000",
" ","3545  ","敦泰            ","381,000","0","381,000",
" ","1802  ","台玻            ","320,000","2,000","318,000",
" ","2031  ","新光鋼          ","292,000","0","292,000",
" ","3042  ","晶技            ","332,000","50,000","282,000",
" ","3035  ","智原            ","250,000","0","250,000",
" ","3711  ","日月光投控      ","262,400","43,000","219,400",
" ",="00663L","國泰臺灣加權正2 ","200,000","0","200,000",
" ","8046  ","南電            ","197,000","42,000","155,000",
" ","2387  ","精元            ","150,000","0","150,000",
" ","2330  ","台積電          ","99,800","21,000","78,800",
" ","2385  ","群光            ","139,000","62,000","77,000",
" ","6213  ","聯茂            ","75,000","0","75,000",
" ","1303  ","南亞            ","79,500","5,000","74,500",
" ",="0050  ","元大台灣50      ","67,000","0","67,000",
" ","2105  ","正新            ","65,000","2,000","63,000",
" ","2395  ","研華            ","51,600","0","51,600",
" ","2327  ","國巨            ","49,000","5,000","44,000",
" ","3533  ","嘉澤            ","30,000","0","30,000",
" ","1326  ","台化            ","23,900","3,000","20,900",
" ","8028  ","昇陽半導體      ","20,000","0","20,000",
" ",="0052  ","富邦科技        ","16,000","0","16,000",
" ","3006  ","晶豪科          ","25,000","12,000","13,000",
" ","6505  ","台塑化          ","10,600","1,000","9,600",
" ","2353  ","宏碁            ","11,000","2,000","9,000",
" ","3023  ","信邦            ","9,000","0","9,000",
" ","1477  ","聚陽            ","7,000","0","7,000",
" ","2371  ","大同            ","7,000","0","7,000",
" ","4904  ","遠傳            ","6,300","1,000","5,300",
" ","2890  ","永豐金          ","12,500","9,000","3,500",
" ","2357  ","華碩            ","3,400","0","3,400",
" ","3706  ","神達            ","3,000","0","3,000",
" ","6239  ","力成            ","2,000","0","2,000",
" ","3045  ","台灣大          ","2,900","1,000","1,900",
" ","1590  ","亞德客-KY       ","3,000","2,000","1,000",
" ","1722  ","台肥            ","1,000","0","1,000",
" ","5534  ","長虹            ","1,000","0","1,000",
" ","2912  ","統一超          ","500","0","500",
" ","2207  ","和泰車          ","300","0","300",
" ","6409  ","旭隼            ","100","0","100",
" ","1605  ","華新            ","3,000","28,515,000","-28,512,000",
" ","2618  ","長榮航          ","351,200","9,000,000","-8,648,800",
" ","2337  ","旺宏            ","310,000","4,205,000","-3,895,000",
" ","2313  ","華通            ","0","3,114,000","-3,114,000",
" ","2408  ","南亞科          ","50,100","3,056,000","-3,005,900",
" ","2449  ","京元電子        ","3,000","1,919,000","-1,916,000",
" ","2492  ","華新科          ","98,000","1,938,000","-1,840,000",
" ","3034  ","聯詠            ","64,000","1,879,000","-1,815,000",
" ","2884  ","玉山金          ","4,000","1,709,298","-1,705,298",
" ","2809  ","京城銀          ","0","1,673,000","-1,673,000",
" ","1513  ","中興電          ","0","1,331,000","-1,331,000",
" ","9933  ","中鼎            ","1,000","1,248,000","-1,247,000",
" ","3376  ","新日興          ","0","993,000","-993,000",
" ","2376  ","技嘉            ","1,000","975,000","-974,000",
" ","3005  ","神基            ","1,000","955,000","-954,000",
" ","2915  ","潤泰全          ","1,000","924,000","-923,000",
" ","3443  ","創意            ","0","903,000","-903,000",
" ","2368  ","金像電          ","2,499,000","3,340,000","-841,000",
" ","6176  ","瑞儀            ","0","760,000","-760,000",
" ","2451  ","創見            ","1,000","702,000","-701,000",
" ","2448  ","晶電            ","3,000","686,000","-683,000",
" ","2377  ","微星            ","2,000","609,000","-607,000",
" ","2324  ","仁寶            ","16,100","545,000","-528,900",
" ","2458  ","義隆            ","1,000","528,000","-527,000",
" ","4958  ","臻鼎-KY         ","400","519,000","-518,600",
" ","2885  ","元大金          ","13,200","509,000","-495,800",
" ","1504  ","東元            ","0","420,000","-420,000",
" ","2881  ","富邦金          ","9,300","392,000","-382,700",
" ","2603  ","長榮            ","434,600","809,000","-374,400",
" ","3596  ","智易            ","0","353,000","-353,000",
" ","2439  ","美律            ","0","327,000","-327,000",
" ","2351  ","順德            ","0","300,000","-300,000",
" ","1102  ","亞泥            ","9,100","307,000","-297,900",
" ","1736  ","喬山            ","0","278,000","-278,000",
" ","9914  ","美利達          ","0","276,000","-276,000",
" ","3044  ","健鼎            ","0","263,000","-263,000",
" ","1604  ","聲寶            ","0","246,000","-246,000",
" ","2838A ","聯邦銀甲特      ","0","242,000","-242,000",
" ","4927  ","泰鼎-KY         ","0","215,000","-215,000",
" ","3702A ","大聯大甲特      ","0","206,000","-206,000",
" ","3406  ","玉晶光          ","23,000","198,000","-175,000",
" ","1904  ","正隆            ","0","169,000","-169,000",
" ","2404  ","漢唐            ","0","167,000","-167,000",
" ","2723  ","美食-KY         ","0","158,000","-158,000",
" ","2355  ","敬鵬            ","0","150,000","-150,000",
" ","1717  ","長興            ","0","121,000","-121,000",
" ","3017  ","奇鋐            ","0","107,000","-107,000",
" ","2231  ","為升            ","0","100,000","-100,000",
" ","4551  ","智伸科          ","0","100,000","-100,000",
" ","6230  ","超眾            ","0","96,000","-96,000",
" ","4190  ","佐登-KY         ","0","90,000","-90,000",
" ","5215  ","科嘉-KY         ","0","87,000","-87,000",
" ","3037  ","欣興            ","122,000","202,000","-80,000",
" ","9921  ","巨大            ","0","76,000","-76,000",
" ","6416  ","瑞祺電通        ","0","74,000","-74,000",
" ","6285  ","啟碁            ","0","66,000","-66,000",
" ","2379  ","瑞昱            ","93,000","158,000","-65,000",
" ","3661  ","世芯-KY         ","25,000","90,000","-65,000",
" ","2455  ","全新            ","0","60,000","-60,000",
" ","2308  ","台達電          ","41,300","92,000","-50,700",
" ","5469  ","瀚宇博          ","0","50,000","-50,000",
" ","8081  ","致新            ","0","50,000","-50,000",
" ","9802  ","鈺齊-KY         ","0","50,000","-50,000",
" ","2887E ","台新戊特        ","0","38,000","-38,000",
" ","2888A ","新光金甲特      ","0","36,000","-36,000",
" ","1589  ","永冠-KY         ","0","35,172","-35,172",
" ","2383  ","台光電          ","0","31,000","-31,000",
" ","2881A ","富邦特          ","0","30,000","-30,000",
" ","1817  ","凱撒衛          ","0","26,000","-26,000",
" ","2727  ","王品            ","28,000","53,000","-25,000",
" ","3653  ","健策            ","0","23,000","-23,000",
" ","1216  ","統一            ","2,200","24,000","-21,800",
" ","1537  ","廣隆            ","0","21,000","-21,000",
" ","4536  ","拓凱            ","0","20,000","-20,000",
" ","6278  ","台表科          ","0","20,000","-20,000",
" ","9910  ","豐泰            ","0","17,000","-17,000",
" ","5269  ","祥碩            ","0","16,000","-16,000",
" ","6670  ","復盛應用        ","0","16,000","-16,000",
" ","6116  ","彩晶            ","50,000","64,000","-14,000",
" ","6415  ","矽力-KY         ","0","11,000","-11,000",
" ","1536  ","和大            ","0","10,000","-10,000",
" ","2317  ","鴻海            ","0","10,000","-10,000",
" ","2891  ","中信金          ","6,300","15,000","-8,700",
" ","1476  ","儒鴻            ","500","9,000","-8,500",
" ","5871  ","中租-KY         ","900","7,000","-6,100",
" ","1210  ","大成            ","0","6,000","-6,000",
" ","2887  ","台新金          ","3,400","9,000","-5,600",
" ","2888  ","新光金          ","4,800","10,000","-5,200",
" ","2345  ","智邦            ","1,000","6,000","-5,000",
" ","2892  ","第一金          ","4,400","8,000","-3,600",
" ","5880  ","合庫金          ","4,600","8,000","-3,400",
" ","2880  ","華南金          ","4,800","8,000","-3,200",
" ","5288  ","豐祥-KY         ","0","3,000","-3,000",
" ","6669  ","緯穎            ","2,000","5,000","-3,000",
" ","2834  ","臺企銀          ","2,100","5,000","-2,900",
" ","2801  ","彰銀            ","3,200","6,000","-2,800",
" ","2882  ","國泰金          ","4,500","7,000","-2,500",
" ","2845  ","遠東銀          ","0","2,000","-2,000",
" ","5538  ","東明-KY         ","0","2,000","-2,000",
" ","6005  ","群益證          ","0","2,000","-2,000",
" ","1402  ","遠東新          ","2,200","4,000","-1,800",
" ","2823  ","中壽            ","1,900","3,000","-1,100",
" ","1229  ","聯華            ","0","1,000","-1,000",
" ","1434  ","福懋            ","0","1,000","-1,000",
" ","2474  ","可成            ","0","1,000","-1,000",
" ","2412  ","中華電          ","2,200","3,000","-800",
" ","9904  ","寶成            ","1,400","2,000","-600",
" ","8454  ","富邦媒          ","700","1,000","-300",
" ","2454  ","聯發科          ","20,900","21,000","-100",
" ","2633  ","台灣高鐵        ","1,000","1,000","0",
"說明:"
"投信表示本國投資信託基金。"
"＊表示該證券今日有鉅額交易。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

