"109年10月22日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2303  ","聯電            ","16,370,000","2,768,000","13,602,000",
" ","3481  ","群創            ","6,988,000","0","6,988,000",
" ","2409  ","友達            ","1,563,000","0","1,563,000",
" ","2889  ","國票金          ","1,549,000","0","1,549,000",
" ","3045  ","台灣大          ","1,170,000","3,000","1,167,000",
" ",="0056  ","元大高股息      ","1,035,000","0","1,035,000",
" ","1312  ","國喬            ","952,000","0","952,000",
" ","1102  ","亞泥            ","1,366,000","678,000","688,000",
" ","3702  ","大聯大          ","873,000","197,000","676,000",
" ","3711  ","日月光投控      ","692,000","16,000","676,000",
" ","2006  ","東和鋼鐵        ","631,000","0","631,000",
" ","3017  ","奇鋐            ","718,000","89,000","629,000",
" ","3673  ","TPK-KY          ","500,000","0","500,000",
" ","1477  ","聚陽            ","448,000","0","448,000",
" ","2355  ","敬鵬            ","370,000","0","370,000",
" ","9802  ","鈺齊-KY         ","466,000","120,000","346,000",
" ","1301  ","台塑            ","251,000","0","251,000",
" ","6669  ","緯穎            ","230,000","0","230,000",
" ","3376  ","新日興          ","190,000","0","190,000",
" ","2883  ","開發金          ","190,000","21,000","169,000",
" ","2387  ","精元            ","160,000","0","160,000",
" ","3041  ","揚智            ","160,000","0","160,000",
" ","4536  ","拓凱            ","149,000","0","149,000",
" ","2915  ","潤泰全          ","237,000","89,000","148,000",
" ","4551  ","智伸科          ","142,000","0","142,000",
" ","2027  ","大成鋼          ","127,000","0","127,000",
" ","6191  ","精成科          ","127,000","0","127,000",
" ","2890  ","永豐金          ","141,000","15,000","126,000",
" ","5534  ","長虹            ","124,000","0","124,000",
" ","4190  ","佐登-KY         ","120,000","0","120,000",
" ","3010  ","華立            ","107,000","0","107,000",
" ","4927  ","泰鼎-KY         ","100,000","0","100,000",
" ","1215  ","卜蜂            ","89,000","0","89,000",
" ","6414  ","樺漢            ","73,000","0","73,000",
" ","1513  ","中興電          ","237,000","165,694","71,306",
" ","9910  ","豐泰            ","159,000","91,000","68,000",
" ","6271  ","同欣電          ","112,000","45,000","67,000",
" ","6141  ","柏承            ","55,000","0","55,000",
" ","2103  ","台橡            ","51,000","0","51,000",
" ","2441  ","超豐            ","50,000","0","50,000",
" ","4977  ","眾達-KY         ","50,000","0","50,000",
" ","1476  ","儒鴻            ","51,000","5,000","46,000",
" ","3034  ","聯詠            ","81,000","36,000","45,000",
" ","1760  ","寶齡富錦        ","40,000","0","40,000",
" ","2801  ","彰銀            ","48,000","10,000","38,000",
" ","2439  ","美律            ","68,000","33,000","35,000",
" ","2408  ","南亞科          ","33,000","1,000","32,000",
" ","1517  ","利奇            ","31,297","0","31,297",
" ","3042  ","晶技            ","25,000","0","25,000",
" ","3406  ","玉晶光          ","20,000","0","20,000",
" ","2353  ","宏碁            ","27,000","9,261","17,739",
" ",="0050  ","元大台灣50      ","17,000","0","17,000",
" ","9921  ","巨大            ","16,000","0","16,000",
