"109年11月13日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","3017  ","奇鋐            ","1,316,000","0","1,316,000",
" ","2303  ","聯電            ","4,880,000","3,787,000","1,093,000",
" ","8046  ","南電            ","1,349,000","324,000","1,025,000",
" ","2881  ","富邦金          ","1,204,000","184,000","1,020,000",
" ","4968  ","立積            ","778,000","0","778,000",
" ","3711  ","日月光投控      ","654,000","3,000","651,000",
" ","3042  ","晶技            ","635,000","0","635,000",
" ","2412  ","中華電          ","668,000","69,000","599,000",
" ","2504  ","國產            ","645,000","100,000","545,000",
" ","2408  ","南亞科          ","1,000,000","508,000","492,000",
" ","6278  ","台表科          ","474,000","0","474,000",
" ","1504  ","東元            ","418,000","0","418,000",
" ","2891  ","中信金          ","857,000","457,000","400,000",
" ","3443  ","創意            ","370,000","20,000","350,000",
" ","1326  ","台化            ","333,000","0","333,000",
" ","2049  ","上銀            ","332,000","0","332,000",
" ","3044  ","健鼎            ","316,000","0","316,000",
" ","1102  ","亞泥            ","300,000","0","300,000",
" ","1305  ","華夏            ","300,000","0","300,000",
" ","2006  ","東和鋼鐵        ","290,000","0","290,000",
" ","6285  ","啟碁            ","254,000","0","254,000",
" ","2481  ","強茂            ","200,000","0","200,000",
" ","9933  ","中鼎            ","200,000","0","200,000",
" ","5471  ","松翰            ","152,000","0","152,000",
" ","3034  ","聯詠            ","140,000","0","140,000",
" ","4927  ","泰鼎-KY         ","130,000","0","130,000",
" ","3406  ","玉晶光          ","120,000","6,000","114,000",
" ","2723  ","美食-KY         ","107,000","0","107,000",
" ","1216  ","統一            ","206,000","108,000","98,000",
" ","3653  ","健策            ","141,000","72,000","69,000",
" ","2454  ","聯發科          ","87,000","31,000","56,000",
" ","3545  ","敦泰            ","54,000","0","54,000",
" ","2492  ","華新科          ","51,000","0","51,000",
" ","3008  ","大立光          ","45,000","0","45,000",
" ","2327  ","國巨            ","40,000","0","40,000",
" ","1598  ","岱宇            ","91,000","61,000","30,000",
" ","6491  ","晶碩            ","50,000","21,000","29,000",
" ","9802  ","鈺齊-KY         ","13,000","0","13,000",
" ","1301  ","台塑            ","10,000","0","10,000",
" ","6271  ","同欣電          ","10,000","0","10,000",
" ","1476  ","儒鴻            ","6,000","0","6,000",
" ",="0052  ","富邦科技        ","5,000","0","5,000",
" ","2379  ","瑞昱            ","1,000","0","1,000",
" ","2474  ","可成            ","1,000","0","1,000",
" ","2409  ","友達            ","11,000","7,941,000","-7,930,000",
" ","3481  ","群創            ","2,902,000","9,460,000","-6,558,000",
" ","1312  ","國喬            ","300,000","2,824,000","-2,524,000",
" ","1304  ","台聚            ","0","2,500,000","-2,500,000",
" ","2603  ","長榮            ","1,187,000","3,581,000","-2,394,000",
" ","3189  ","景碩            ","50,000","1,915,000","-1,865,000",
" ","2448  ","晶電            ","320,000","1,728,000","-1,408,000",
" ","2615  ","萬海            ","0","1,192,000","-1,192,000",
" ","2610  ","華航            ","0","1,191,000","-1,191,000",
" ","2883  ","開發金          ","0","1,053,000","-1,053,000",
" ","2458  ","義隆            ","0","1,034,000","-1,034,000",
" ","8215  ","明基材          ","0","915,000","-915,000",
" ","2890  ","永豐金          ","0","765,000","-765,000",
" ","1904  ","正隆            ","0","650,000","-650,000",
" ","2330  ","台積電          ","12,000","661,000","-649,000",
" ","2324  ","仁寶            ","5,000","583,000","-578,000",
" ","3596  ","智易            ","0","578,000","-578,000",
" ","2108  ","南帝            ","10,000","472,000","-462,000",
" ","2356  ","英業達          ","0","455,000","-455,000",
" ","1736  ","喬山            ","0","400,000","-400,000",
" ","6669  ","緯穎            ","12,000","410,000","-398,000",
" ","2892  ","第一金          ","0","395,000","-395,000",
" ",="0056  ","元大高股息      ","14,000","393,000","-379,000",
" ","5215  ","科嘉-KY         ","0","378,000","-378,000",
" ","1402  ","遠東新          ","0","311,000","-311,000",
" ","6269  ","台郡            ","33,000","338,000","-305,000",
" ","2886  ","兆豐金          ","0","304,000","-304,000",
" ","6257  ","矽格            ","0","300,000","-300,000",
" ","2231  ","為升            ","37,000","329,000","-292,000",
" ","9904  ","寶成            ","0","289,000","-289,000",
" ","3231  ","緯創            ","0","282,000","-282,000",
" ","8150  ","南茂            ","0","280,000","-280,000",
