"109年12月10日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","3481  ","群創            ","24,500,000","160,000","24,340,000",
" ","2317  ","鴻海            ","3,105,000","0","3,105,000",
" ","2409  ","友達            ","2,418,000","4,000","2,414,000",
" ","2027  ","大成鋼          ","2,333,000","133,000","2,200,000",
" ","2492  ","華新科          ","2,002,000","0","2,002,000",
" ","2615  ","萬海            ","1,851,000","0","1,851,000",
" ","4961  ","天鈺            ","1,717,000","0","1,717,000",
" ","4938  ","和碩            ","1,696,000","0","1,696,000",
" ","2330  ","台積電          ","1,468,500","146,000","1,322,500",
" ","3231  ","緯創            ","996,000","73,000","923,000",
" ","2481  ","強茂            ","780,000","0","780,000",
" ","3545  ","敦泰            ","1,111,000","336,000","775,000",
" ","2324  ","仁寶            ","1,117,000","409,000","708,000",
" ","3037  ","欣興            ","829,000","153,000","676,000",
" ","2382  ","廣達            ","754,000","120,000","634,000",
" ","2448  ","晶電            ","606,000","0","606,000",
" ","2352  ","佳世達          ","632,000","53,000","579,000",
" ","2337  ","旺宏            ","796,000","220,000","576,000",
" ","1513  ","中興電          ","665,000","150,000","515,000",
" ","3034  ","聯詠            ","498,000","28,000","470,000",
" ","2356  ","英業達          ","850,000","403,000","447,000",
" ","3045  ","台灣大          ","552,000","152,000","400,000",
" ","3711  ","日月光投控      ","871,000","530,000","341,000",
" ","4904  ","遠傳            ","432,000","93,000","339,000",
" ","2327  ","國巨            ","319,000","0","319,000",
" ","3702  ","大聯大          ","411,000","107,000","304,000",
" ","6271  ","同欣電          ","211,000","6,663","204,337",
" ","2454  ","聯發科          ","392,000","192,000","200,000",
" ","2345  ","智邦            ","192,000","0","192,000",
" ","6239  ","力成            ","202,000","10,000","192,000",
" ","2375  ","凱美            ","180,000","0","180,000",
" ","2338  ","光罩            ","170,000","0","170,000",
" ","2379  ","瑞昱            ","162,000","0","162,000",
" ","2520  ","冠德            ","150,000","0","150,000",
" ","8028  ","昇陽半導體      ","107,000","0","107,000",
" ","2360  ","致茂            ","105,000","0","105,000",
" ","1536  ","和大            ","98,000","0","98,000",
" ","4968  ","立積            ","95,000","5,000","90,000",
" ","2231  ","為升            ","85,000","0","85,000",
" ","2383  ","台光電          ","103,000","25,000","78,000",
" ","1477  ","聚陽            ","75,000","0","75,000",
" ","1589  ","永冠-KY         ","50,000","0","50,000",
" ","4967  ","十銓            ","50,000","0","50,000",
" ","3044  ","健鼎            ","132,000","85,000","47,000",
" ","6116  ","彩晶            ","125,000","78,000","47,000",
" ","4958  ","臻鼎-KY         ","159,000","113,000","46,000",
" ","2456  ","奇力新          ","42,000","0","42,000",
" ",="0050  ","元大台灣50      ","41,000","0","41,000",
" ","2002  ","中鋼            ","40,000","0","40,000",
" ","6214  ","精誠            ","43,000","3,000","40,000",
" ","2884  ","玉山金          ","34,000","0","34,000",
" ","5880  ","合庫金          ","33,000","0","33,000",
" ","2880  ","華南金          ","32,000","0","32,000",
" ","2887  ","台新金          ","31,000","0","31,000",
" ","1232  ","大統益          ","29,000","0","29,000",
" ","2455  ","全新            ","27,000","0","27,000",
" ","2801  ","彰銀            ","25,000","0","25,000",
" ","3008  ","大立光          ","25,000","0","25,000",
" ","3006  ","晶豪科          ","21,000","0","21,000",
" ","1216  ","統一            ","20,000","0","20,000",
" ","2412  ","中華電          ","20,000","0","20,000",
" ","2888  ","新光金          ","20,000","0","20,000",
" ","6505  ","台塑化          ","16,000","0","16,000",
" ","2727  ","王品            ","14,000","0","14,000",
" ","2228  ","劍麟            ","12,000","0","12,000",
" ","2834  ","臺企銀          ","11,000","0","11,000",
" ","9914  ","美利達          ","12,000","1,000","11,000",
" ","8046  ","南電            ","60,000","52,000","8,000",
