"109年11月09日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2603  ","長榮            ","10,297,000","10,000","10,287,000",
" ","2609  ","陽明            ","9,554,000","0","9,554,000",
" ","2027  ","大成鋼          ","2,442,000","0","2,442,000",
" ","3042  ","晶技            ","1,352,000","0","1,352,000",
" ","2615  ","萬海            ","1,080,000","2,000","1,078,000",
" ","3711  ","日月光投控      ","1,050,000","34,000","1,016,000",
" ","1312  ","國喬            ","947,000","0","947,000",
" ","8150  ","南茂            ","850,000","0","850,000",
" ","3708  ","上緯投控        ","589,000","0","589,000",
" ","2504  ","國產            ","564,000","0","564,000",
" ","3189  ","景碩            ","518,000","0","518,000",
" ","3017  ","奇鋐            ","462,000","0","462,000",
" ","3661  ","世芯-KY         ","455,000","41,000","414,000",
" ","2006  ","東和鋼鐵        ","699,000","314,000","385,000",
" ","4968  ","立積            ","380,000","0","380,000",
" ","2108  ","南帝            ","489,000","110,000","379,000",
" ","3545  ","敦泰            ","272,000","0","272,000",
" ","5388  ","中磊            ","255,000","0","255,000",
" ","3338  ","泰碩            ","251,000","0","251,000",
" ","3376  ","新日興          ","359,000","115,000","244,000",
" ","1909  ","榮成            ","234,000","0","234,000",
" ","8021  ","尖點            ","225,000","0","225,000",
" ","9802  ","鈺齊-KY         ","182,000","0","182,000",
" ","3443  ","創意            ","265,000","100,000","165,000",
" ","1598  ","岱宇            ","168,000","5,000","163,000",
" ","4906  ","正文            ","160,000","0","160,000",
" ","2327  ","國巨            ","154,000","0","154,000",
" ","3034  ","聯詠            ","198,000","53,000","145,000",
" ","3665  ","貿聯-KY         ","210,000","66,000","144,000",
" ","2492  ","華新科          ","156,000","40,000","116,000",
" ","1476  ","儒鴻            ","103,000","0","103,000",
" ","8046  ","南電            ","140,000","45,000","95,000",
" ","1589  ","永冠-KY         ","88,000","0","88,000",
" ","1477  ","聚陽            ","79,000","0","79,000",
" ","1762  ","中化生          ","74,000","0","74,000",
" ",="0056  ","元大高股息      ","70,000","0","70,000",
" ","3406  ","玉晶光          ","65,000","1,000","64,000",
" ","2727  ","王品            ","48,000","0","48,000",
" ",="0050  ","元大台灣50      ","43,000","0","43,000",
" ","6271  ","同欣電          ","40,000","0","40,000",
" ","9914  ","美利達          ","37,000","0","37,000",
" ","5871  ","中租-KY         ","34,000","2,000","32,000",
" ","6669  ","緯穎            ","31,000","0","31,000",
" ","8215  ","明基材          ","30,000","0","30,000",
" ","3008  ","大立光          ","30,000","1,000","29,000",
" ","1590  ","亞德客-KY       ","20,000","0","20,000",
" ","2231  ","為升            ","20,000","0","20,000",
" ","5269  ","祥碩            ","18,000","5,000","13,000",
" ","2340  ","光磊            ","12,000","0","12,000",
" ","2207  ","和泰車          ","8,000","0","8,000",
" ",="0052  ","富邦科技        ","3,000","0","3,000",
" ","2409  ","友達            ","0","3,680,000","-3,680,000",
" ","2610  ","華航            ","0","3,300,000","-3,300,000",
" ","1309  ","台達化          ","0","3,238,000","-3,238,000",
" ","3481  ","群創            ","0","2,823,000","-2,823,000",
" ","2303  ","聯電            ","814,000","3,307,000","-2,493,000",
" ","2337  ","旺宏            ","398,000","2,832,000","-2,434,000",
" ","3673  ","TPK-KY          ","0","2,089,000","-2,089,000",
" ","3653  ","健策            ","0","1,132,000","-1,132,000",
" ","2324  ","仁寶            ","0","1,056,000","-1,056,000",
" ","1605  ","華新            ","0","987,000","-987,000",
" ","2377  ","微星            ","0","950,000","-950,000",
" ","5471  ","松翰            ","0","908,000","-908,000",
" ","2883  ","開發金          ","0","881,000","-881,000",
" ","2356  ","英業達          ","0","856,000","-856,000",
" ","2106  ","建大            ","0","747,000","-747,000",
" ","3037  ","欣興            ","94,000","832,000","-738,000",
" ","6456  ","GIS-KY          ","0","735,000","-735,000",
" ","2890  ","永豐金          ","0","641,000","-641,000",
" ","3231  ","緯創            ","0","611,000","-611,000",
" ","2421  ","建準            ","0","551,000","-551,000",
" ","2201  ","裕隆            ","0","509,639","-509,639",
" ","2387  ","精元            ","0","480,000","-480,000",
" ","3702  ","大聯大          ","0","472,000","-472,000",
" ",="006205","富邦上証        ","0","466,000","-466,000",
" ","2376  ","技嘉            ","0","448,000","-448,000",
" ","3533  ","嘉澤            ","28,000","466,000","-438,000",
" ","2301  ","光寶科          ","0","414,000","-414,000",
" ","1904  ","正隆            ","0","404,000","-404,000",
" ","2891  ","中信金          ","0","401,000","-401,000",
" ","6213  ","聯茂            ","464,000","864,000","-400,000",
" ","2886  ","兆豐金          ","0","399,000","-399,000",
" ","2385  ","群光            ","0","390,000","-390,000",
" ","4142  ","國光生          ","0","361,000","-361,000",
" ","2347  ","聯強            ","0","359,000","-359,000",
" ","2892  ","第一金          ","0","339,000","-339,000",
" ","2809  ","京城銀          ","0","332,000","-332,000",
" ","2458  ","義隆            ","0","325,000","-325,000",
" ","4938  ","和碩            ","0","310,000","-310,000",
" ","1434  ","福懋            ","0","298,000","-298,000",
" ","1102  ","亞泥            ","0","292,000","-292,000",
" ","1101  ","台泥            ","0","290,000","-290,000",
" ","2449  ","京元電子        ","0","276,000","-276,000",
" ","2368  ","金像電          ","0","270,000","-270,000",
" ","2313  ","華通            ","0","264,000","-264,000",
" ","1402  ","遠東新          ","0","259,000","-259,000",
" ","8261  ","富鼎            ","0","250,000","-250,000",
" ","9904  ","寶成            ","0","240,000","-240,000",
" ","2382  ","廣達            ","0","233,000","-233,000",
" ","9910  ","豐泰            ","0","222,000","-222,000",
" ","2408  ","南亞科          ","0","215,000","-215,000",
" ","2233  ","宇隆            ","0","202,000","-202,000",
" ","6269  ","台郡            ","0","176,000","-176,000",
" ","2330  ","台積電          ","0","170,000","-170,000",
" ","1210  ","大成            ","0","166,000","-166,000",
" ","2882  ","國泰金          ","0","166,000","-166,000",
" ","9933  ","中鼎            ","0","166,000","-166,000",
" ","2383  ","台光電          ","0","163,000","-163,000",
" ","2881  ","富邦金          ","0","162,000","-162,000",
" ","8039  ","台虹            ","0","160,000","-160,000",
" ","2451  ","創見            ","0","152,000","-152,000",
" ","1303  ","南亞            ","0","136,000","-136,000",
" ","4958  ","臻鼎-KY         ","0","136,000","-136,000",
" ","3005  ","神基            ","0","128,000","-128,000",
" ","3044  ","健鼎            ","0","126,000","-126,000",
" ","2915  ","潤泰全          ","0","124,000","-124,000",
" ","2354  ","鴻準            ","0","122,000","-122,000",
" ","4904  ","遠傳            ","0","120,000","-120,000",
" ","6670  ","復盛應用        ","0","119,000","-119,000",
" ","3515  ","華擎            ","0","113,000","-113,000",
" ","6176  ","瑞儀            ","0","102,000","-102,000",
" ","5534  ","長虹            ","0","100,000","-100,000",
" ","1216  ","統一            ","0","95,000","-95,000",
" ","6412  ","群電            ","0","93,000","-93,000",
" ","6504  ","南六            ","0","88,000","-88,000",
" ","2357  ","華碩            ","0","85,000","-85,000",
" ","6239  ","力成            ","0","83,000","-83,000",
" ","2454  ","聯發科          ","2,000","83,000","-81,000",
" ","2520  ","冠德            ","40,000","120,000","-80,000",
" ","3045  ","台灣大          ","0","71,000","-71,000",
" ","2412  ","中華電          ","0","63,000","-63,000",
" ","5234  ","達興材料        ","0","50,000","-50,000",
" ","5515  ","建國            ","0","50,000","-50,000",
" ","2439  ","美律            ","0","43,000","-43,000",
" ","2404  ","漢唐            ","0","38,000","-38,000",
" ","8081  ","致新            ","18,000","56,000","-38,000",
" ","6491  ","晶碩            ","5,000","38,000","-33,000",
" ","1515  ","力山            ","0","30,000","-30,000",
" ","1723  ","中碳            ","0","30,000","-30,000",
" ","3563  ","牧德            ","0","29,000","-29,000",
" ","6415  ","矽力-KY         ","1,000","29,000","-28,000",
" ","2308  ","台達電          ","0","20,000","-20,000",
" ","2002  ","中鋼            ","0","19,000","-19,000",
" ","2317  ","鴻海            ","0","18,000","-18,000",
" ","2884  ","玉山金          ","0","18,000","-18,000",
" ","2885  ","元大金          ","0","18,000","-18,000",
" ","2888  ","新光金          ","0","18,000","-18,000",
" ","2887  ","台新金          ","0","16,000","-16,000",
" ","2887E ","台新戊特        ","0","16,000","-16,000",
" ","3004  ","豐達科          ","0","16,000","-16,000",
" ","2880  ","華南金          ","0","15,000","-15,000",
" ","5880  ","合庫金          ","0","15,000","-15,000",
" ","8454  ","富邦媒          ","0","11,000","-11,000",
" ","2801  ","彰銀            ","0","10,000","-10,000",
" ","1717  ","長興            ","0","9,000","-9,000",
" ","2834  ","臺企銀          ","0","8,000","-8,000",
" ","2838A ","聯邦銀甲特      ","0","7,000","-7,000",
" ","1326  ","台化            ","0","5,000","-5,000",
" ","2823  ","中壽            ","0","5,000","-5,000",
" ","2345  ","智邦            ","0","4,000","-4,000",
" ","2353  ","宏碁            ","0","4,000","-4,000",
" ","2379  ","瑞昱            ","0","4,000","-4,000",
" ","1504  ","東元            ","0","3,000","-3,000",
" ","2105  ","正新            ","0","3,000","-3,000",
" ","2360  ","致茂            ","0","3,000","-3,000",
" ","2618  ","長榮航          ","0","3,000","-3,000",
" ","2633  ","台灣高鐵        ","0","3,000","-3,000",
" ","2845  ","遠東銀          ","0","3,000","-3,000",
" ","6005  ","群益證          ","0","3,000","-3,000",
" ","6505  ","台塑化          ","0","2,000","-2,000",
" ","9941A ","裕融甲特        ","0","2,000","-2,000",
" ","1722  ","台肥            ","0","1,000","-1,000",
" ","2323  ","中環            ","0","1,000","-1,000",
" ","2395  ","研華            ","0","1,000","-1,000",
" ","2474  ","可成            ","0","1,000","-1,000",
" ","2912  ","統一超          ","0","1,000","-1,000",
" ","3023  ","信邦            ","0","1,000","-1,000",
" ","9917  ","中保科          ","0","1,000","-1,000",
"說明:"
"投信表示本國投資信託基金。"
"＊表示該證券今日有鉅額交易。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

